YR,MON,EMI
1912,7,0.353798
1912,8,0.0245476
1912,9,0.0158486
1912,10,0.0131456
1912,11,0.226844
1912,12,-0.0245869
1913,1,-0.198744
1913,2,0.20344
1913,3,0.482023
1913,4,0.383971
1913,5,0.30246
1913,6,-0.129274
1913,7,-0.190794
1913,8,-0.340517
1913,9,0.116071
1913,10,-0.356737
1913,11,0.00973739
1913,12,-0.0995436
1914,1,-0.105488
1914,2,0.420951
1914,3,0.0924685
1914,4,0.507357
1914,5,0.378149
1914,6,0.27401
1914,7,0.242056
1914,8,0.372997
1914,9,0.0126388
1914,10,0.0136935
1914,11,0.116199
1914,12,0.185449
1915,1,0.398341
1915,2,0.539528
1915,3,0.388088
1915,4,0.111555
1915,5,-0.082409
1915,6,-0.117517
1915,7,-0.0627773
1915,8,0.0109524
1915,9,0.128677
1915,10,0.381117
1915,11,0.247431
1915,12,0.365041
1916,1,0.282166
1916,2,0.278239
1916,3,0.243062
1916,4,0.264652
1916,5,0.70052
1916,6,0.584656
1916,7,0.224362
1916,8,-0.203284
1916,9,-0.258816
1916,10,-0.0624799
1916,11,-0.184381
1916,12,-0.271623
1917,1,-0.289136
1917,2,0.128363
1917,3,0.182981
1917,4,-0.185842
1917,5,-0.295475
1917,6,-0.26009
1917,7,-0.489154
1917,8,-0.366945
1917,9,-0.319208
1917,10,0.0209212
1917,11,-0.149029
1917,12,0.0725329
1918,1,-0.0058741
1918,2,-0.025459
1918,3,-0.188292
1918,4,-0.327713
1918,5,-0.412435
1918,6,-0.270272
1918,7,-0.548253
1918,8,-0.23312
1918,9,0.0379262
1918,10,0.0955347
1918,11,0.0823909
1918,12,0.166797
1919,1,0.383585
1919,2,0.341552
1919,3,0.523081
1919,4,0.265088
1919,5,0.181383
1919,6,0.0768839
1919,7,0.0505756
1919,8,0.321342
1919,9,0.113698
1919,10,0.107506
1919,11,0.00259626
1919,12,0.217668
1920,1,0.0877627
1920,2,0.122404
1920,3,0.26909
1920,4,-0.120932
1920,5,-0.177765
1920,6,0.314601
1920,7,0.765953
1920,8,0.350419
1920,9,0.499034
1920,10,1.0038
1920,11,0.173163
1920,12,-0.195233
1921,1,0.163608
1921,2,-0.22831
1921,3,-0.594266
1921,4,0.193966
1921,5,-0.32141
1921,6,-0.231866
1921,7,-0.0504975
1921,8,0.38202
1921,9,0.256396
1921,10,0.164061
1921,11,-0.281982
1921,12,0.295971
1922,1,0.0709913
1922,2,0.196515
1922,3,0.399359
1922,4,-0.104068
1922,5,0.314403
1922,6,0.153144
1922,7,0.472044
1922,8,0.528537
1922,9,0.551265
1922,10,0.154655
1922,11,0.476079
1922,12,-0.00410202
1923,1,0.0115588
1923,2,-0.086658
1923,3,0.226566
1923,4,0.168892
1923,5,0.200509
1923,6,-0.0625338
1923,7,-0.236555
1923,8,0.382228
1923,9,0.607284
1923,10,0.697286
1923,11,0.692367
1923,12,0.541093
1924,1,0.60965
1924,2,0.432956
1924,3,0.769796
1924,4,0.348947
1924,5,0.101239
1924,6,0.251965
1924,7,0.0362093
1924,8,-0.0827782
1924,9,-0.121703
1924,10,-0.204765
1924,11,-0.49728
1924,12,0.0908759
1925,1,-0.475942
1925,2,-0.591047
1925,3,-0.590254
1925,4,-0.352173
1925,5,-0.165372
1925,6,-0.610915
1925,7,-0.109683
1925,8,0.0874877
1925,9,0.312733
1925,10,0.327106
1925,11,0.506741
1925,12,0.381792
1926,1,0.252398
1926,2,0.392747
1926,3,0.334293
1926,4,0.052449
1926,5,0.189538
1926,6,0.38567
1926,7,0.17515
1926,8,0.199536
1926,9,0.203693
1926,10,-0.219682
1926,11,-0.0465255
1926,12,-0.162265
1927,1,0.1045
